company_name,job_title,job_category,skill_tested,interview_question,response,rating,id
PepsiCo,Sales Manager  ,Situational,management,What would you do if you had a great employee who started making mistakes over and over,2. **Offer the employee support and resources to help them improve.**,4.0,15
PepsiCo,Sales Manager  ,Situational,management,What would you do if you had a great employee who started making mistakes over and over,3. **Set clear expectations for the employee and hold them accountable.**,3.0,16
PepsiCo,Sales Manager  ,Situational,management,What would you do if you had a great employee who started making mistakes over and over,4. **Document the employee's performance and take disciplinary action if necessary.**,2.0,17
PepsiCo,Sales Manager  ,Situational,management,What would you do if you had a great employee who started making mistakes over and over,5. **Fire the employee if their performance does not improve.**,1.0,18
PepsiCo,Sales Manager  ,Situational,management,What would you do if you had a great employee who started making mistakes over and over,1. **Talk to the employee privately and ask them what's going on.**,5.0,19
Decathlon,Sales Manager  ,Situational,management,why am i sports passionate,"I am interested in working in the sports industry because I believe that sports can make a positive impact on people's lives. I am passionate about helping people get active and enjoy sports, and I am confident that I can use my skills and experience to help Decathlon achieve its goals.",2.0,20
Decathlon,Sales Manager  ,Situational,management,why am i sports passionate,"I have always been passionate about sports. I grew up playing sports and have always loved the competition and the sense of community. I believe that sports can teach us valuable life lessons, such as teamwork, perseverance, and sportsmanship. I am excited to work in the sports industry and help others share my passion for sports.",5.0,21
Decathlon,Sales Manager  ,Situational,management,why am i sports passionate,I have been working in the sports industry for the past 5 years and have a deep understanding of the industry. I am passionate about helping people get active and enjoy sports. I am confident that I can use my skills and experience to help Decathlon grow its business.,4.0,22
Decathlon,Sales Manager  ,Situational,management,why am i sports passionate,I am interested in working in the sports industry because I think it is a fun and exciting field. I am passionate about sports and I think that working in this industry would be a great way to combine my interests.,1.0,23
Decathlon,Sales Manager  ,Situational,management,why am i sports passionate,"I am a lifelong athlete and have always been involved in sports. I believe that sports are a great way to stay healthy and active, and I am excited to work in an industry that promotes physical activity. I am confident that I can use my passion for sports to help Decathlon reach its goals.",3.0,24
Procter & Gamble,Sales Manager  ,Situational,management,what do you want to be when you are older,"I want to be a thought leader in my field, publishing books and articles and sharing my insights with the world.",3.0,25
Procter & Gamble,Sales Manager  ,Situational,management,what do you want to be when you are older,"I want to be a successful entrepreneur, starting my own business and creating a lasting legacy.",4.0,26
Procter & Gamble,Sales Manager  ,Situational,management,what do you want to be when you are older,"I want to be a Sales Manager at Procter & Gamble, leading a team of high-performing sales professionals and driving growth for the company.",5.0,27
Procter & Gamble,Sales Manager  ,Situational,management,what do you want to be when you are older,"I want to be a mentor to others, helping them achieve their goals and reach their full potential.",2.0,28
Procter & Gamble,Sales Manager  ,Situational,management,what do you want to be when you are older,"I want to make a positive impact on the world, using my skills and talents to help others.",1.0,29
Define Mobility,Sales Manager  ,Fresher,technical,My previous experience and how I plan to improve this company,"4. I have no experience in sales management, but I am a highly motivated and results-oriented individual. I am confident that I can learn the specific requirements of this role and make a positive contribution to the team.",2.0,30
Define Mobility,Sales Manager  ,Fresher,technical,My previous experience and how I plan to improve this company,5. I am not interested in this role.,1.0,31
Define Mobility,Sales Manager  ,Fresher,technical,My previous experience and how I plan to improve this company,"2. I have 3 years of experience in sales management, and I have a good understanding of the sales process. I am confident that I can learn the specific requirements of this role and make a positive contribution to the team.",4.0,32
Define Mobility,Sales Manager  ,Fresher,technical,My previous experience and how I plan to improve this company,"1. I have 5 years of experience in sales management, and I have a proven track record of success in increasing sales and improving customer satisfaction. In my previous role at ABC Company, I increased sales by 20% year-over-year and received the company's ""Salesperson of the Year"" award. I am confident that I can use my skills and experience to help Define Mobility achieve its sales goals.",5.0,33
Define Mobility,Sales Manager  ,Fresher,technical,My previous experience and how I plan to improve this company,"3. I have 1 year of experience in sales management, but I am a quick learner and I am confident that I can quickly learn the specific requirements of this role. I am also a hard worker and I am always willing to go the extra mile.",3.0,34
Macleods Pharma,Sales Manager  ,Fresher,technical,Whats is your strengths,I am a hard worker and I am always willing to go the extra mile.,1.0,35
Macleods Pharma,Sales Manager  ,Fresher,technical,Whats is your strengths,I am a highly motivated and results-oriented individual with a proven track record of success in sales.,5.0,36
Macleods Pharma,Sales Manager  ,Fresher,technical,Whats is your strengths,I am a team player with excellent communication and interpersonal skills.,3.0,37
Macleods Pharma,Sales Manager  ,Fresher,technical,Whats is your strengths,I am a strategic thinker with a strong ability to develop and execute plans.,4.0,38
Macleods Pharma,Sales Manager  ,Fresher,technical,Whats is your strengths,I am a quick learner and I am always eager to take on new challenges.,2.0,39
MSC Industrial Direct,Branch Sales Manager  ,Introductory,speaking,What makes you a good fit for MSC,"I have a proven track record of success in sales, with a strong understanding of the industrial distribution industry. I am also a highly motivated and results-oriented individual with a strong work ethic.",5.0,40
MSC Industrial Direct,Branch Sales Manager  ,Introductory,speaking,What makes you a good fit for MSC,I am a highly skilled and experienced sales professional with a deep understanding of the industrial distribution industry. I am also a proven leader with a strong track record of success in developing and motivating teams.,4.0,41
MSC Industrial Direct,Branch Sales Manager  ,Introductory,speaking,What makes you a good fit for MSC,I am a good fit for MSC because I am a hard worker and I am always willing to learn new things.,1.0,42
MSC Industrial Direct,Branch Sales Manager  ,Introductory,speaking,What makes you a good fit for MSC,I am a hard worker with a strong understanding of the industrial distribution industry. I am also a good listener and I am always willing to learn new things.,2.0,43
MSC Industrial Direct,Branch Sales Manager  ,Introductory,speaking,What makes you a good fit for MSC,I am a highly motivated and results-oriented individual with a strong work ethic. I am also a team player with a proven ability to work effectively with others.,3.0,44
MSC Industrial Direct,District Sales Manager  ,Situational,management,They asked alot of questions about commission and appointments what was typical etc,"4. I am willing to learn more about the commission structure and appointment process, and I am confident that I can be successful with some additional training.",2.0,45
MSC Industrial Direct,District Sales Manager  ,Situational,management,They asked alot of questions about commission and appointments what was typical etc,"5. I am not familiar with the commission structure and appointment process, and I am concerned that I may not be able to be successful in this role.",1.0,46
MSC Industrial Direct,District Sales Manager  ,Situational,management,They asked alot of questions about commission and appointments what was typical etc,"3. I am familiar with the commission structure and appointment process, and I am confident that I can use my skills and experience to be successful.",3.0,47
MSC Industrial Direct,District Sales Manager  ,Situational,management,They asked alot of questions about commission and appointments what was typical etc,1. I am confident that I can meet or exceed sales goals and generate a high level of commissions.,5.0,48
MSC Industrial Direct,District Sales Manager  ,Situational,management,They asked alot of questions about commission and appointments what was typical etc,"2. I have a proven track record of success in sales, and I am confident that I can translate that success into this role.",4.0,49
HDFC Standard Life Insurance,Sales Development Manager  ,Situational,management,Tell about your self,I am a good communicator and I am able to build strong relationships with clients. I am also able to effectively manage my time and resources. I am confident that I can provide your clients with the best possible service.,2.0,50
HDFC Standard Life Insurance,Sales Development Manager  ,Situational,management,Tell about your self,I am a reliable and trustworthy individual. I am also a good team player and I am always willing to help others. I am confident that I can be a valuable asset to your team.,1.0,51
HDFC Standard Life Insurance,Sales Development Manager  ,Situational,management,Tell about your self,I am a highly motivated and results-oriented individual with a proven track record of success in sales and marketing. I have a strong understanding of the insurance industry and a passion for helping people. I am confident that I have the skills and experience necessary to be successful in this role.,5.0,52
HDFC Standard Life Insurance,Sales Development Manager  ,Situational,management,Tell about your self,I am a hard worker and I am always willing to go the extra mile. I am also a team player and I am always willing to help others. I am confident that I can make a significant contribution to your team.,4.0,53
HDFC Standard Life Insurance,Sales Development Manager  ,Situational,management,Tell about your self,I am a quick learner and I am always eager to take on new challenges. I am also a good listener and I am always open to feedback. I am confident that I can adapt to your company culture and quickly become a valuable member of your team.,3.0,54
Skillforce (USA),Regional Sales Manager  ,Situational,management,Write a business plan,5. **I would develop a management team and delegate responsibilities. This would help me ensure that the business is run efficiently.**,1.0,55
Skillforce (USA),Regional Sales Manager  ,Situational,management,Write a business plan,"1. **I would start by conducting a SWOT analysis of the company and the industry. This would help me identify the company's strengths, weaknesses, opportunities, and threats.**",5.0,56
Skillforce (USA),Regional Sales Manager  ,Situational,management,Write a business plan,2. **I would then develop a mission statement and goals for the company. This would give me a clear direction for the business plan.**,4.0,57
Skillforce (USA),Regional Sales Manager  ,Situational,management,Write a business plan,4. **I would create a financial plan that outlines the company's projected income and expenses. This would help me make informed decisions about the business.**,2.0,58
Skillforce (USA),Regional Sales Manager  ,Situational,management,Write a business plan,3. **I would research the target market and develop a marketing plan. This would help me reach the right customers with the right message.**,3.0,59
Bajaj Finance,Assistant Sales Manager  ,Fresher,technical,Basic profile and previous experience,"I have been working in the sales industry for 5 years, and I have a proven track record of success. In my previous role at XYZ Company, I was consistently ranked as one of the top performers. I am confident that I have the skills and experience necessary to be successful in this role.",5.0,60
Bajaj Finance,Assistant Sales Manager  ,Fresher,technical,Basic profile and previous experience,"I am new to the sales industry, but I am eager to learn and I am confident that I can be successful in this role.",2.0,61
Bajaj Finance,Assistant Sales Manager  ,Fresher,technical,Basic profile and previous experience,"I am not sure if I am the right fit for this role, as I do not have any experience in sales. However, I am eager to learn and I am confident that I can be successful.",1.0,62
Bajaj Finance,Assistant Sales Manager  ,Fresher,technical,Basic profile and previous experience,"I have been working in the sales industry for 1 year, and I am still learning the ropes. However, I am a quick learner and I am confident that I can be successful in this role.",3.0,63
Bajaj Finance,Assistant Sales Manager  ,Fresher,technical,Basic profile and previous experience,"I have been working in the sales industry for 3 years, and I have a good understanding of the challenges and opportunities that come with the role. I am confident that I can learn quickly and be successful in this role.",4.0,64
Hyatt,Sales Manager  ,Situational,management,Discribe what I could bring to the table,I am a highly motivated and results-oriented individual with a strong work ethic.,4.0,65
Hyatt,Sales Manager  ,Situational,management,Discribe what I could bring to the table,"I have a proven track record of success in sales, with a 100% close rate on my last 10 deals.",5.0,66
Hyatt,Sales Manager  ,Situational,management,Discribe what I could bring to the table,I am a hard worker and I am always willing to go the extra mile.,1.0,67
Hyatt,Sales Manager  ,Situational,management,Discribe what I could bring to the table,I am a quick learner and I am always eager to take on new challenges.,2.0,68
Hyatt,Sales Manager  ,Situational,management,Discribe what I could bring to the table,I am a team player with excellent communication and interpersonal skills.,3.0,69
Integrated Technology Group,Sales Manager  ,Fresher,technical,Do you have a good experience in same field at the same market,"I have been working in the sales field for 5 years and have a proven track record of success in generating leads and closing deals. In my previous role at ABC Company, I was responsible for generating over $1 million in sales in my first year. I am confident that I have the experience and skills necessary to be successful in this role.",5.0,70
Integrated Technology Group,Sales Manager  ,Fresher,technical,Do you have a good experience in same field at the same market,"I have been working in the sales field for 3 years and have a good understanding of the industry. I have a proven track record of success in generating leads and closing deals. In my previous role at XYZ Company, I was responsible for generating over $500,000 in sales in my first year. I am confident that I have the experience and skills necessary to be successful in this role.",4.0,71
Integrated Technology Group,Sales Manager  ,Fresher,technical,Do you have a good experience in same field at the same market,"I have no experience in the sales field. However, I am a quick learner and I am confident that I can quickly learn the ropes and be successful in this role. I am a hard worker and I am always willing to go the extra mile. I am confident that I can make a significant contribution to your team.",1.0,72
Integrated Technology Group,Sales Manager  ,Fresher,technical,Do you have a good experience in same field at the same market,"I have been working in the sales field for 1 year and have a limited understanding of the industry. I have a good track record of success in generating leads and closing deals. In my previous role at DEF Company, I was responsible for generating over $100,000 in sales in my first year. I am confident that I have the experience and skills necessary to be successful in this role.",2.0,73
Integrated Technology Group,Sales Manager  ,Fresher,technical,Do you have a good experience in same field at the same market,"I have been working in the sales field for 2 years and have a basic understanding of the industry. I have a good track record of success in generating leads and closing deals. In my previous role at 123 Company, I was responsible for generating over $250,000 in sales in my first year. I am confident that I have the experience and skills necessary to be successful in this role.",3.0,74
Life Fitness,Assistant Sales Manager  ,Situational,management,More over technical questins felt difficulty apart from that everything was fine,5. I am not confident that I have the technical skills necessary for this role.,1.0,75
Life Fitness,Assistant Sales Manager  ,Situational,management,More over technical questins felt difficulty apart from that everything was fine,2. I am eager to learn more about the technical aspects of this role.,4.0,76
Life Fitness,Assistant Sales Manager  ,Situational,management,More over technical questins felt difficulty apart from that everything was fine,"3. I understand that technical skills are important for this role, and I am committed to developing them.",3.0,77
Life Fitness,Assistant Sales Manager  ,Situational,management,More over technical questins felt difficulty apart from that everything was fine,1. I am confident that I can learn the technical skills necessary for this role.,5.0,78
Life Fitness,Assistant Sales Manager  ,Situational,management,More over technical questins felt difficulty apart from that everything was fine,"4. I am aware that I have some gaps in my technical knowledge, but I am confident that I can fill them in.",2.0,79
2020 Companies,Field Sales Manager  ,Fresher,technical,Tell us about your telecom experience,"I have been working in the telecom industry for 5 years, and I have a deep understanding of the market.",5.0,80
2020 Companies,Field Sales Manager  ,Fresher,technical,Tell us about your telecom experience,"I am eager to learn and grow, and I am confident that I can make a positive contribution to 2020 Companies.",1.0,81
2020 Companies,Field Sales Manager  ,Fresher,technical,Tell us about your telecom experience,"I have a proven track record of success in sales, and I am confident that I can help 2020 Companies grow its telecom business.",4.0,82
2020 Companies,Field Sales Manager  ,Fresher,technical,Tell us about your telecom experience,"I am a highly motivated and results-oriented individual, and I am confident that I can make a significant contribution to 2020 Companies.",3.0,83
2020 Companies,Field Sales Manager  ,Fresher,technical,Tell us about your telecom experience,"I am a team player, and I am confident that I can work effectively with others to achieve 2020 Companies' goals.",2.0,84
Spirax Sarco,Territory Sales Manager  ,Situational,management,Primarily focused on your reaction to adverse work and personal situations that developed you as a responsible engineering and sales professional,I was able to learn from my mistakes and grow as a result of difficult experiences.,4.0,85
Spirax Sarco,Territory Sales Manager  ,Situational,management,Primarily focused on your reaction to adverse work and personal situations that developed you as a responsible engineering and sales professional,"I was able to effectively communicate with my colleagues and clients, and I was able to build consensus and resolve conflict.",1.0,86
Spirax Sarco,Territory Sales Manager  ,Situational,management,Primarily focused on your reaction to adverse work and personal situations that developed you as a responsible engineering and sales professional,"I was able to maintain a positive attitude and focus on solutions, even when faced with challenges.",5.0,87
Spirax Sarco,Territory Sales Manager  ,Situational,management,Primarily focused on your reaction to adverse work and personal situations that developed you as a responsible engineering and sales professional,"I was able to remain calm and collected under pressure, and I was able to effectively manage my time and resources.",2.0,88
Spirax Sarco,Territory Sales Manager  ,Situational,management,Primarily focused on your reaction to adverse work and personal situations that developed you as a responsible engineering and sales professional,"I was able to build strong relationships with my colleagues and clients, even during difficult times.",3.0,89
Go Auto,Sales Manager  ,Fresher,technical,Previous work experience and how it would be relevant to current role,I am a hard worker and I am always willing to go the extra mile. I am confident that I can put in the effort necessary to be successful in this role.,3.0,90
Go Auto,Sales Manager  ,Fresher,technical,Previous work experience and how it would be relevant to current role,"I have a proven track record of success in sales, with a 100% closing rate in my previous role. I am confident that I can use my skills and experience to help Go Auto achieve its sales goals.",5.0,91
Go Auto,Sales Manager  ,Fresher,technical,Previous work experience and how it would be relevant to current role,I am a team player and I am always willing to help others. I am confident that I can work well with the rest of the sales team to achieve our goals.,2.0,92
Go Auto,Sales Manager  ,Fresher,technical,Previous work experience and how it would be relevant to current role,I am eager to learn and I am always looking for ways to improve my skills. I am confident that I can continue to develop my skills and become a valuable asset to Go Auto.,1.0,93
Go Auto,Sales Manager  ,Fresher,technical,Previous work experience and how it would be relevant to current role,I have a strong understanding of the automotive industry and the challenges that Go Auto faces. I am confident that I can use my knowledge to help the company grow its sales.,4.0,94
Hilton,Sales Manager  ,Situational,management,How would you handle a difficult customer,1. Apologize profusely and offer to do anything to make it right.,1.0,95
Hilton,Sales Manager  ,Situational,management,How would you handle a difficult customer,2. Try to calm the customer down and listen to their concerns.,2.0,96
Hilton,Sales Manager  ,Situational,management,How would you handle a difficult customer,5. Redirect the customer to a manager if they are unable to resolve the issue.,5.0,97
Hilton,Sales Manager  ,Situational,management,How would you handle a difficult customer,4. Be assertive and stand your ground if the customer is being unreasonable.,4.0,98
Hilton,Sales Manager  ,Situational,management,How would you handle a difficult customer,3. Offer a solution to the customer's problem and follow up to make sure they are satisfied.,3.0,99
Hyatt,Sales Manager  ,Situational,management,what made you decide to apply,I was looking for a company that offered a competitive salary and benefits package. Hyatt is a company that I can see myself growing with for many years to come.,2.0,100
Hyatt,Sales Manager  ,Situational,management,what made you decide to apply,I was attracted to the opportunity to work for a world-renowned hotel brand and to be part of a team that is dedicated to providing exceptional customer service.,5.0,101
Hyatt,Sales Manager  ,Situational,management,what made you decide to apply,I was looking for a new challenge and I believe that this role would allow me to use my skills and experience to make a real difference.,4.0,102
Hyatt,Sales Manager  ,Situational,management,what made you decide to apply,I was impressed by the company's growth and its commitment to innovation. I believe that this is a company that is going places and I want to be a part of that journey.,3.0,103
Hyatt,Sales Manager  ,Situational,management,what made you decide to apply,I was looking for a job that was close to my home and Hyatt was the only company that I interviewed with that had a location that was convenient for me.,1.0,104
Square Yards,AREA SALES MANAGER  ,Situational,management,Why do u want to join this company,I am excited about the opportunity to work with a team of talented professionals.,4.0,105
Square Yards,AREA SALES MANAGER  ,Situational,management,Why do u want to join this company,I need a job and this is the only offer I have received.,1.0,106
Square Yards,AREA SALES MANAGER  ,Situational,management,Why do u want to join this company,I believe that my skills and experience are a good fit for this role.,3.0,107
Square Yards,AREA SALES MANAGER  ,Situational,management,Why do u want to join this company,I am impressed by the company's growth and its commitment to innovation.,5.0,108
Square Yards,AREA SALES MANAGER  ,Situational,management,Why do u want to join this company,I am looking for a company that offers a competitive salary and benefits.,2.0,109
Bombas,Corporate Sales Manager  ,Situational,management,Why Bombas,I'm impressed by Bombas' growth and potential for future success.,3.0,110
Bombas,Corporate Sales Manager  ,Situational,management,Why Bombas,I'm attracted to Bombas' culture of innovation and collaboration.,2.0,111
Bombas,Corporate Sales Manager  ,Situational,management,Why Bombas,I'm passionate about Bombas' mission to provide socks to those in need.,5.0,112
Bombas,Corporate Sales Manager  ,Situational,management,Why Bombas,I believe in Bombas' commitment to sustainability and ethical manufacturing.,4.0,113
Bombas,Corporate Sales Manager  ,Situational,management,Why Bombas,I'm familiar with Bombas and believe it would be a good fit for my skills and experience.,1.0,114
Decathlon,Sales Manager  ,Situational,management,i dint receive any such kinda things,I'm not sure what you're referring to.,1.0,115
Decathlon,Sales Manager  ,Situational,management,i dint receive any such kinda things,"I'm not sure what you mean by ""such kinda things.""",2.0,116
Decathlon,Sales Manager  ,Situational,management,i dint receive any such kinda things,I'm not familiar with that specific situation. Can you give me an example?,4.0,117
Decathlon,Sales Manager  ,Situational,management,i dint receive any such kinda things,I've encountered similar situations in the past and handled them effectively. Here's an example:,5.0,118
Decathlon,Sales Manager  ,Situational,management,i dint receive any such kinda things,I'm not sure if I understand your question. Can you please rephrase it?,3.0,119
Nixon Medical,Territory Sales Manager  ,Fresher,technical,Past sales experience and how it relates,I have a strong understanding of the medical sales industry and the challenges that Territory Sales Managers face.,3.0,120
Nixon Medical,Territory Sales Manager  ,Fresher,technical,Past sales experience and how it relates,I am a highly motivated and results-oriented salesperson who is always looking for new ways to close deals.,4.0,121
Nixon Medical,Territory Sales Manager  ,Fresher,technical,Past sales experience and how it relates,I am a quick learner who is always looking for new ways to improve my sales skills.,1.0,122
Nixon Medical,Territory Sales Manager  ,Fresher,technical,Past sales experience and how it relates,"I have a proven track record of success in sales, with a 100% close rate on my last 10 deals.",5.0,123
Nixon Medical,Territory Sales Manager  ,Fresher,technical,Past sales experience and how it relates,I am a team player who is willing to go the extra mile to help my team succeed.,2.0,124
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Previous work,I was laid off from my previous job due to a company restructuring,3.0,125
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Previous work,I resigned from my previous job to move to a new city,2.0,126
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Previous work,I was promoted to Assistant Sales Manager after 2 years at my previous company,5.0,127
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Previous work,I was let go from my previous job due to downsizing,1.0,128
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Previous work,I left my previous job to pursue a new opportunity,4.0,129
Get Beyond,National Sales Manager  ,Situational,management,Do you mind working for commission,I am comfortable with a commission-based compensation structure,4.0,130
Get Beyond,National Sales Manager  ,Situational,management,Do you mind working for commission,I am willing to work hard to earn commission,2.0,131
Get Beyond,National Sales Manager  ,Situational,management,Do you mind working for commission,I am not sure if I would be comfortable working for commission,1.0,132
Get Beyond,National Sales Manager  ,Situational,management,Do you mind working for commission,I am confident in my ability to generate sales and earn commission,5.0,133
Get Beyond,National Sales Manager  ,Situational,management,Do you mind working for commission,I am motivated by the opportunity to earn commission,3.0,134
Keurig Dr Pepper,District Sales Manager  ,Situational,management,I was not asked a single question,"I was disappointed that I wasn't asked any questions, but I think I was able to show my enthusiasm for the role and my ability to learn quickly.",2.0,135
Keurig Dr Pepper,District Sales Manager  ,Situational,management,I was not asked a single question,"I was frustrated that I wasn't asked any questions, but I think I was able to show my determination and my ability to stay focused on my goals.",1.0,136
Keurig Dr Pepper,District Sales Manager  ,Situational,management,I was not asked a single question,"I was a little confused at first, but I think it was a good opportunity to show my ability to handle unexpected situations.",3.0,137
Keurig Dr Pepper,District Sales Manager  ,Situational,management,I was not asked a single question,"I was expecting to be asked more questions, but I'm glad I had the opportunity to share my thoughts on the role.",5.0,138
Keurig Dr Pepper,District Sales Manager  ,Situational,management,I was not asked a single question,"I was surprised that I wasn't asked any questions, but I think it gave me a chance to show my confidence and ability to think on my feet.",4.0,139
Godrej Agrovet,Sales Manager  ,Situational,management,what will you do if your distributor is not ready to clear the dues,3. **I would follow up regularly with the distributor to ensure that the payments are being made on time.**,3.0,140
Godrej Agrovet,Sales Manager  ,Situational,management,what will you do if your distributor is not ready to clear the dues,"4. **If the distributor is still not willing to pay, I would escalate the issue to my manager.**",2.0,141
Godrej Agrovet,Sales Manager  ,Situational,management,what will you do if your distributor is not ready to clear the dues,5. **I would eventually terminate the relationship with the distributor if they are not able to meet their financial obligations.**,1.0,142
Godrej Agrovet,Sales Manager  ,Situational,management,what will you do if your distributor is not ready to clear the dues,1. **I would first try to understand the reason for the delay in payment.**,5.0,143
Godrej Agrovet,Sales Manager  ,Situational,management,what will you do if your distributor is not ready to clear the dues,2. **I would then work with the distributor to come up with a payment plan that is mutually agreeable.**,4.0,144
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Education,I have a strong understanding of the sales process.,1.0,145
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Education,I have a Bachelor's degree in Business Administration from a top university.,5.0,146
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Education,I am a member of the National Sales Association.,2.0,147
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Education,I have completed several internships in sales and marketing.,3.0,148
Godrej & Boyce Manufacturing,Assistant Sales Manager  ,Situational,management,Education,"I have a strong academic record, with a GPA of 3.9.",4.0,149
Larsen & Toubro,Manager - Sales & Marketing  ,Situational,management,What are the reasons for your frequent job chnages,I was looking for a better opportunity,5.0,150
Larsen & Toubro,Manager - Sales & Marketing  ,Situational,management,What are the reasons for your frequent job chnages,I wanted to learn new things,3.0,151
Larsen & Toubro,Manager - Sales & Marketing  ,Situational,management,What are the reasons for your frequent job chnages,I was laid off,1.0,152
Larsen & Toubro,Manager - Sales & Marketing  ,Situational,management,What are the reasons for your frequent job chnages,I was not satisfied with my previous roles,4.0,153
Larsen & Toubro,Manager - Sales & Marketing  ,Situational,management,What are the reasons for your frequent job chnages,I was not getting along with my co-workers,2.0,154
Bajaj Finance,Assistant Manager - Sales and Marketing  ,Situational,management,do you have ability to work,I am able to meet deadlines and stay organized.,3.0,155
Bajaj Finance,Assistant Manager - Sales and Marketing  ,Situational,management,do you have ability to work,I am able to learn new things quickly and adapt to change.,1.0,156
Bajaj Finance,Assistant Manager - Sales and Marketing  ,Situational,management,do you have ability to work,I have a strong work ethic and am always willing to go the extra mile.,5.0,157
Bajaj Finance,Assistant Manager - Sales and Marketing  ,Situational,management,do you have ability to work,I am able to work independently and as part of a team.,4.0,158
Bajaj Finance,Assistant Manager - Sales and Marketing  ,Situational,management,do you have ability to work,I am able to handle stress and remain calm under pressure.,2.0,159
Aggreko,Regional Sales Manager  ,Situational,management,Do you deal mostly with direct clients or dealers,"I have a mix of both, but I prefer to deal with direct clients because I can build a stronger relationship with them and understand their needs better.",5.0,160
Aggreko,Regional Sales Manager  ,Situational,management,Do you deal mostly with direct clients or dealers,"I would not be comfortable working with dealers, I prefer to deal with direct clients only.",1.0,161
Aggreko,Regional Sales Manager  ,Situational,management,Do you deal mostly with direct clients or dealers,"I would prefer to deal with direct clients, but I am open to working with dealers if necessary.",2.0,162
Aggreko,Regional Sales Manager  ,Situational,management,Do you deal mostly with direct clients or dealers,"I have no preference, I am comfortable working with both direct clients and dealers.",3.0,163
Aggreko,Regional Sales Manager  ,Situational,management,Do you deal mostly with direct clients or dealers,I mostly deal with dealers because they have a larger network of customers and can reach more people.,4.0,164
MAN,Sales Manager  ,Situational,management,industry related knowledge,I am up-to-date on the latest industry news and trends.,3.0,165
MAN,Sales Manager  ,Situational,management,industry related knowledge,I am willing to learn more about the automotive industry and its trends.,1.0,166
MAN,Sales Manager  ,Situational,management,industry related knowledge,I am familiar with the different sales channels and how to best reach customers in each channel.,4.0,167
MAN,Sales Manager  ,Situational,management,industry related knowledge,I have a good understanding of the challenges facing the automotive industry and how to overcome them.,2.0,168
MAN,Sales Manager  ,Situational,management,industry related knowledge,I have a strong understanding of the automotive industry and its current trends.,5.0,169
Abbott,Institutional Sales Manager  ,Situational,management,More focus on medical knowledge,"I am not as familiar with medical knowledge as I would like to be, but I am confident that I can learn what I need to know in order to be successful in this role.",3.0,170
Abbott,Institutional Sales Manager  ,Situational,management,More focus on medical knowledge,I am not sure that I have the necessary medical knowledge to be successful in this role.,2.0,171
